p-table-body-item,p-table-body-item 2,,p-table-body-item 3,p-table-body-item 4,,p-table-body-item 5,p-table-body-item 6,p-table-body-item 7,,,p-table-body-item 8,p-table-body-item 9,p-table-body-item 10,p-table-body-item 11,p-table-body-item 12,p-table-body-item 13,p-table-body-item 14,p-table-body-item 15,d-none,p-table-body-item 16,p-table-body-item 17,,
23,1.00135E+11,,アパート,151.60㎡,神奈川県,神奈川県横浜市港北区菊名３丁目,"専属
オーナーチェンジ","11,000万円","11,000",11000,一中,159.77㎡,Ｄｉｍｏｒａ Ｋｉｋｕｎａ ｋｏｈｏｋｕ,公開中,一方,横浜線 菊名,徒歩 10分,南6m,スターツピタットハウス（株） 菊名店,2015年（平成27年） 1月,080-5929-6306,,250615
24,2.0013E+11,,アパート,624.46㎡,三重県,三重県津市阿漕町津興,一般,"4,800万円","4,800",4000,一住,327.28㎡,カストル／ポルックス,-,-,紀勢線 阿漕,徒歩 17分,東4.4m,セキスイハイム不動産（株）中部支店流通営業所,1998年（平成10年）12月,052-959-2829,,250615
25,1.00134E+11,,アパート,"1,197.34㎡",神奈川県,神奈川県小田原市千代,"売主
オーナーチェンジ","11,900万円","11,900",11000,一中,778.64㎡,シティハイム グリーンフラット、グリーンフラットⅡ,-,一方,御殿場線 下曽我,徒歩 10分,北,セキスイハイム不動産（株）神奈川営業所,1992年（平成 4年）10月,03-6843-0816,,250615
26,3.00135E+11,,マンション,368.78㎡,京都府,京都府京都市伏見区深草善導寺町,専任,"17,500万円","17,500",17000,一住,588.06㎡,,公開中,一方,近鉄京都線 伏見,徒歩 2分,-,セレクトプラン,1986年（昭和61年）10月,075-748-8491,,250615
27,1.00135E+11,,アパート,998.40㎡,富山県,富山県富山市黒瀬,一般,"6,500万円","6,500",6000,-,484.42㎡,ヴィラエテルネ黒瀬Ｄ棟・Ｅ棟,-,一方,,,西4m,テックプロパティジャパン（株）,2004年（平成16年） 2月,03-6843-1838,,250615
28,1.00106E+11,,アパート,"1,047.00㎡",栃木県,栃木県栃木市大森町,"一般
オーナーチェンジ","14,000万円","14,000",14000,一住,70.06㎡,ウィステリア,-,三方,東武日光線 合戦場,徒歩 62分,東6m,とちぎ未来開発（株）,2018年（平成30年） 2月,0282-24-5687,,250615
29,1.00135E+11,,アパート,53.73㎡,東京都,東京都大田区大森南２丁目,"売主
オーナーチェンジ","1,800万円","1,800",1000,-,58.66㎡,宗像荘,-,一方,京急空港線 大鳥居,徒歩 20分,-,トライフ（株）,1977年（昭和52年） 1月,03-3762-8945,,250615
30,2.00132E+11,,アパート,500.02㎡,静岡県,静岡県伊東市八幡野,売主,"1,480万円","1,480",1000,定めなし,110.96㎡,,-,角地,伊豆急 伊豆高原,徒歩 15分,北5m,ハートランド（株）,1998年（平成10年） 9月,0557-51-0020,,250615
31,4.00131E+11,,アパート,"1,510.46㎡",福岡県,福岡県柳川市大和町栄,"専任
オーナーチェンジ","9,000万円","9,000",9000,定めなし,568.64㎡,ＢＯＮＨＥＵＲ ＳＡＫＵＲＡ,公開中,-,西鉄大牟田 塩塚,徒歩 23分,東4.7m,ハウスプラザ（株）,2010年（平成22年） 4月,092-874-0323,,250615
32,1.00134E+11,,アパート,164.99㎡,埼玉県,埼玉県さいたま市桜区大字大久保領家,"専任
オーナーチェンジ","4,980万円","4,980",4000,一住,163.08㎡,ソレジオＮ,申込あり,一方,埼京線 南与野,停歩 9分/バス 15分,北4m,パナソニックホームズ不動産（株） 関東住宅流通センター,2004年（平成16年） 1月,9042762599,,250615
33,3.00129E+11,,マンション,206.53㎡,兵庫県,兵庫県尼崎市水堂町２丁目,一般,"6,500万円","6,500",6000,二中,340.20㎡,パルテール立花,-,-,東海道線 立花,徒歩 15分,-,ビーバーホーム（株）,1976年（昭和51年） 8月,06-4950-7567,,250615
34,2.00134E+11,,アパート,248.95㎡,岐阜県,岐阜県岐阜市加納栄町通７丁目,"一般
オーナーチェンジ","6,200万円","6,200",6000,近商,453.11㎡,コーポ加納Ａ棟・コーポ加納Ｂ棟,-,-,東海道線 岐阜,徒歩 13分,北5m,ビジネスサポートコンサルティング（株）,1983年（昭和58年） 4月,052-253-6810,,250615
35,1.00135E+11,,アパート,102.49㎡,東京都,東京都練馬区春日町４丁目,"一般
オーナーチェンジ","3,500万円","3,500",3000,一低,114.61㎡,春日町４丁目アパート,-,一方,大江戸線 練馬春日町,徒歩 7分,北2.7m,フォーラム・ネットワーク（株）,1976年（昭和51年）10月,8041628887,,250615
36,1.00134E+11,,アパート,108.41㎡,東京都,東京都練馬区下石神井３丁目,"代理
オーナーチェンジ","15,800万円","15,800",15000,一中,230.52㎡,ロアジス下石神井,-,角地,西武新宿線 上井草,徒歩 14分,南6m,ベリタス（株）,2025年（令和 7年） 5月,5017206412,,250615
37,2.00134E+11,,アパート,411.39㎡,静岡県,静岡県富士市今泉,"専属
オーナーチェンジ","2,570万円","2,570",2000,二中,283.33㎡,,公開中,三方,岳南電車 本吉原,徒歩 26分,北,ボンズ不動産（株）,1984年（昭和59年） 1月,054-292-7292,,250615
38,1.00133E+11,,マンション,176.52㎡,神奈川県,神奈川県川崎市幸区古川町,"専任
オーナーチェンジ","14,300万円","14,300",14000,一中,282.12㎡,コスモ矢向,公開中,一方,南武線 矢向,徒歩 9分,-,マジュニア（株） 広尾不動産,1988年（昭和63年） 1月,9060429895,,250615
39,1.00134E+11,,アパート,502.60㎡,愛知県,愛知県日進市浅田平子３丁目,一般,"11,000万円","11,000",11000,一低,396.60㎡,,-,一方,豊田線 赤池,徒歩 21分,北16m,マジュニア（株） 広尾不動産,1991年（平成 3年） 4月,9060429895,,250615
40,2.00135E+11,,アパート,340.49㎡,愛知県,愛知県豊橋市老津町字大津中,一般,"3,950万円","3,950",3000,定めなし,197.49㎡,,-,一方,豊橋鉄道線 老津,徒歩 9分,南東4m,まちなか不動産（株）,2014年（平成26年） 8月,0532-39-9711,,250615
41,1.00134E+11,,アパート,394.51㎡,山形県,山形県東根市温泉町１丁目,売主,"2,480万円","2,480",2000,商業,513.41㎡,東根市温泉町１丁目１４－１４ ハートフルハウスＢ,-,二方,奥羽線 東根,停歩 6分/バス 3分,東4.2m,みずほ開発（有）,1997年（平成 9年）11月,023-658-3240,,250615
42,1.00133E+11,,マンション,119.00㎡,神奈川県,神奈川県川崎市幸区大宮町,"専任
オーナーチェンジ","20,000万円","20,000",20000,商業,202.08㎡,,公開中,一方,京浜東北線 川崎,徒歩 5分,-,ミューザハウス,2005年（平成17年） 2月,044-555-5588,,250615
43,1.00135E+11,,アパート,106.36㎡,東京都府,東京都府中市住吉町２丁目,"専任
オーナーチェンジ","7,050万円","7,050",7000,一中,113.40㎡,モアクレスト,公開中,一方,京王線 中河原,徒歩 8分,北東3.9m,リアルエステート・Ｍ＆Ａワークス（株）,1991年（平成 3年）12月,080-1251-3606,,250615
44,1.00135E+11,,マンション,121.45㎡,神奈川県,神奈川県川崎市川崎区宮本町,"一般
オーナーチェンジ","27,000万円","27,000",27000,商業,346.64㎡,宮本町一棟売マンション,-,一方,東海道線 川崎,徒歩 5分,北東6m,ロイヤルハウジング販売（株） 月島キャピタルゲート店,2007年（平成19年） 2月,03-3536-2311,,250615
45,1.00134E+11,,アパート,200.68㎡,埼玉県,埼玉県草加市瀬崎７丁目,"専任
オーナーチェンジ","4,900万円","4,900",4000,一住,185.12㎡,辰巳荘,公開中,一方,伊勢崎線 谷塚,徒歩 15分,西15m,㈲石田商事,1978年（昭和53年） 6月,048-927-6601,,250615
46,2.00134E+11,,アパート,599.49㎡,愛知県,愛知県知多郡美浜町大字奥田字石亀,"専任
オーナーチェンジ","5,300万円","5,300",5000,一住,435.73㎡,ウイング,公開中,一方,知多新線 美浜緑苑,徒歩 13分,北1.5m,㈱Ｓ－ｐｏｉｎｔ,2005年（平成17年）月不詳,052-486-1717,,250615
47,2.0013E+11,,マンション,457.34㎡,愛知県,愛知県名古屋市中川区戸田１丁目,"専任
オーナーチェンジ","11,500万円","11,500",11000,一住,844.40㎡,アーバンホームワン,公開中,角地,関西線 春田,徒歩 9分,北3.6m,㈱Ｓ－ｐｏｉｎｔ,1988年（昭和63年）10月,052-486-1717,,250615
48,1.00135E+11,,マンション,264.45㎡,埼玉県,埼玉県入間郡毛呂山町岩井西１丁目,"売主
オーナーチェンジ","6,280万円","6,280",6000,一住,467.78㎡,ドミ・ジュネス,-,角地,東武越生線 東毛呂,徒歩 5分,-,㈱アイムホーム,1986年（昭和61年）11月,042-985-1641,,250615
49,1.00135E+11,,アパート,249.00㎡,千葉県,千葉県市原市古市場,一般,"10,600万円","10,600",10000,一住,271.90㎡,,-,-,内房線 浜野,徒歩 20分,-,㈱クリスティ,2024年（令和 6年） 7月,8041128899,,250615
50,1.00135E+11,,アパート,"1,004.00㎡",埼玉県,埼玉県朝霞市幸町１丁目,"専任
オーナーチェンジ","23,800万円","23,800",23000,一中,174.52㎡,メゾンマスダ３棟 （同建物が３棟）,公開中,二方,東武東上線 朝霞,徒歩 18分,北西4.6m,㈱ココ・エステート,1991年（平成 3年） 5月,048-452-7722,,250615
51,1.00135E+11,,アパート,218.68㎡,千葉県,千葉県松戸市新作,専任,"7,150万円","7,150",7000,一住,199.22㎡,公開中,角地,常磐緩行線 馬橋,徒歩 8分,北4.3m,㈱中央住宅 ポラス住まいの情報館 蒲生営業所,1992年（平成 4年） 3月,048-985-1211,,,250615
52,1.00134E+11,,アパート,285.00㎡,岐阜県,岐阜県岐阜市長良福江町１丁目,売主,"5,095万円","5,095",5000,二住,209.92㎡,-,一方,名鉄本線 名鉄岐阜,車 5.5km,南,一建設（株） 池袋本社,2024年（令和 6年） 5月,052-935-5581,リーブルファイン岐阜市長良福江町１丁目,,250615
53,2.00122E+11,,アパート,639.73㎡,愛知県,愛知県知多郡南知多町大字大井字西園,"専任
オーナーチェンジ","3,100万円","3,100",3000,二中,409.20㎡,公開中,一方,河和線 河和,停歩 6分/バス 17分,北6m,三井不動産リアルティ㈱三井のリハウス大府センター,1994年（平成 6年） 1月,0562-44-5131,知多郡南知多町大字大井字西園,,250615
54,4.00131E+11,,アパート,379.39㎡,福岡県,福岡県福岡市東区舞松原２丁目,"専任
オーナーチェンジ","8,100万円","8,100",8000,一低,123.38㎡,公開中,一方,鹿児島線 千早,徒歩 13分,南東4.5m,三井不動産リアルティ九州（株）千早香椎センター,2004年（平成16年） 9月,092-674-3231,タウンコート舞松原,,250615
55,1.00134E+11,,アパート,389.19㎡,宮城県,宮城県仙台市青葉区土樋１丁目,"一般
オーナーチェンジ","14,000万円","14,000",14000,二住,177.34㎡,-,一方,仙台南北線 愛宕橋,徒歩 6分,西4m,三井不動産リアルティ東北（株）三井のリハウス仙台センター,2005年（平成17年） 1月,022-261-3131,ベルハイツ広瀬川,,250615
56,3.00134E+11,,アパート,163.04㎡,兵庫県,兵庫県西宮市甲子園町,"一般
オーナーチェンジ","6,200万円","6,200",6000,近商,300.41㎡,-,一方,阪神本線 甲子園,徒歩 9分,南西3.7m,三井不動産リアルティ（株）三井のリハウス芦屋センター,1977年（昭和52年）12月,0797-32-3822,サニーサイド甲子園,,250615
57,1.00134E+11,,アパート,244.42㎡,神奈川県,神奈川県横浜市旭区白根６丁目,専任,"4,480万円","4,480",4000,一低,170.28㎡,公開中,-,相鉄線 鶴ケ峰,徒歩 18分,-,三井不動産リアルティ（株）横浜支店リテール資産営業部 営業グループ１,1988年（昭和63年） 5月,045-517-9412,スターハイツ,,250615
58,1.00133E+11,,アパート,218.32㎡,神奈川県,神奈川県横浜市鶴見区上の宮２丁目,"専任
オーナーチェンジ","12,800万円","12,800",12000,一低,193.90㎡,公開中,-,東横線 菊名,徒歩 9分,-,三井不動産リアルティ（株）横浜支店リテール資産営業部 営業グループ１,2021年（令和 3年） 2月,045-517-9412,Ｓｔｙｌｅ菊名,,250615
59,1.00134E+11,,アパート,154.38㎡,東京都,東京都杉並区下井草１丁目,"専任
オーナーチェンジ","7,950万円","7,950",7000,一低,178.54㎡,申込あり,一方,総武中央線 阿佐ケ谷,徒歩 17分,北4m,三井不動産リアルティ（株）資産営業部 営業グループ２,1977年（昭和52年） 1月,03-6758-4165,ヴィラスイーツ,,250615
60,1.00131E+11,,アパート,191.21㎡,東京都,東京都足立区西新井４丁目,"専任
オーナーチェンジ","6,480万円","6,480",6000,一中,185.08㎡,申込あり,角地,日暮里舎人 谷在家,徒歩 6分,東11.3m,三井不動産リアルティ（株）資産営業部 営業グループ３,1971年（昭和46年） 6月,03-6758-4167,足立区西新井４丁目 一棟アパート,,250615
61,1.00135E+11,,マンション,392.51㎡,東京都,東京都江戸川区篠崎町６丁目,"専任
オーナーチェンジ","21,800万円","21,800",21000,一中,495.73㎡,公開中,一方,都営新宿線 篠崎,徒歩 10分,南東7.9m,三井不動産リアルティ（株）資産営業部 営業グループ３,1995年（平成 7年） 9月,03-6758-4167,シャーブルック篠崎,,250615
62,1.00134E+11,,アパート,233.75㎡,神奈川県,神奈川県相模原市中央区星が丘２丁目,"一般
オーナーチェンジ","10,500万円","10,500",10000,一中,510.98㎡,-,一方,相模線 上溝,徒歩 17分,北6m,三井住友トラスト不動産（株） 町田センター,1991年（平成 3年） 8月,042-721-3171,,,250615
63,1.00135E+11,,アパート,182.03㎡,東京都,東京都国分寺市本多４丁目,専任,"9,500万円","9,500",9000,一低,170.10㎡,公開中,二方,国分寺線 国分寺,徒歩 15分,-,三菱地所ハウスネット（株） 文京春日営業所,1993年（平成 5年） 2月,03-3868-6510,国分寺市本多４丁目 土地建物,,250615
64,1.00134E+11,,マンション,120.95㎡,東京都,東京都練馬区豊玉中１丁目,"専属
オーナーチェンジ","11,420万円","11,420",11000,一中,158.41㎡,公開中,一方,西武新宿線 沼袋,徒歩 14分,北東5.9m,丸ノ内不動産（株）,1989年（平成 1年） 6月,03-6379-1770,,,250615
65,1.00134E+11,,アパート,83.85㎡,東京都,東京都練馬区南大泉４丁目,"専任
オーナーチェンジ","7,460万円","7,460",7000,近商,152.26㎡,申込あり,一方,西武池袋線 保谷,徒歩 5分,北4m,住友不動産ステップ（株） 東京コンサルティング,1988年（昭和63年） 3月,03-6400-3430,練馬区南大泉４丁目１棟マンション,,250615
66,1.00135E+11,,アパート,322.44㎡,東京都,東京都板橋区富士見町,"一般
オーナーチェンジ","30,000万円","30,000",30000,準工,186.28㎡,-,角地,都営三田線 板橋本町,徒歩 6分,北3.4m,住友不動産ステップ（株） 東京コンサルティング,1986年（昭和61年） 3月,03-6400-3430,ソレイユ富士見Ａ、ソレイユ富士見Ｂ,,250615
67,2.00135E+11,,アパート,343.43㎡,愛知県,愛知県名古屋市西区上名古屋３丁目,"専任
オーナーチェンジ","11,000万円","11,000",11000,準工,468.57㎡,公開中,一方,鶴舞線 浄心,徒歩 5分,南7.2m,住友不動産ステップ（株） 名古屋営業センター,1976年（昭和51年） 6月,050-3112-7285,双葉ハイツ,,250615
68,3.00134E+11,,マンション,103.58㎡,大阪府,大阪府大阪市平野区平野市町３丁目,"一般
オーナーチェンジ","21,000万円","21,000",21000,商業,360.88㎡,-,一方,関西線 平野,徒歩 12分,南20m,住友不動産ステップ（株） 阿倍野営業センター,2021年（令和 3年）11月,050-3112-8268,カローレ平野市町,,250615
69,3.00134E+11,,マンション,158.69㎡,兵庫県,兵庫県神戸市須磨区稲葉町１丁目,"専任
オーナーチェンジ","5,800万円","5,800",5000,一住,585.83㎡,公開中,角地,山陽線 須磨海浜公園,徒歩 6分,南15m,住友不動産ステップ（株） 神戸統括事業所 １課,1972年（昭和47年）11月,050-3112-8242,神戸市須磨区稲葉町１丁目 一棟マンション,,250615
70,2.00134E+11,,アパート,126.50㎡,愛知県,愛知県名古屋市熱田区二番２丁目,"専任
オーナーチェンジ","7,300万円","7,300",7000,一住,197.82㎡,公開中,一方,名港線 六番町,徒歩 8分,西2.7m,住友不動産ステップ（株） 名古屋営業センター,2018年（平成30年） 6月,050-3112-7285,ハーモニーテラス二番Ⅶ,,250615
71,1.00135E+11,,アパート,239.19㎡,北海道,北海道札幌市豊平区平岸一条６丁目,"専任
オーナーチェンジ","5,580万円","5,580",5000,一住,417.29㎡,公開中,一方,地下南北線 平岸,徒歩 7分,東8m,住友不動産ステップ（株） 札幌豊平営業センター,1985年（昭和60年） 8月,050-3112-7268,第２マンションポプラ,,250615
72,1.00133E+11,,アパート,173.53㎡,北海道,北海道札幌市北区北三十七条西３丁目,"専任
オーナーチェンジ","2,990万円","2,990",2000,一住,194.30㎡,公開中,一方,地下南北線 麻生,徒歩 5分,北6m,住友不動産ステップ（株） 札幌中央営業センター,1976年（昭和51年） 7月,050-3112-7265,すみれマンション,,250615
73,1.00132E+11,,アパート,161.19㎡,北海道,北海道札幌市白石区東札幌二条４丁目,"一般
オーナーチェンジ","4,000万円","4,000",4000,一住,266.74㎡,-,一方,地下東西線 東札幌,徒歩 9分,北東6m,住友不動産ステップ（株） 札幌中央営業センター,1990年（平成 2年） 5月,050-3112-7265,コンフォール東札幌,,250615
74,3.00134E+11,,アパート,"1,227.33㎡",滋賀県,滋賀県東近江市五個荘山本町,"専任
オーナーチェンジ","4,990万円","4,990",4000,定めなし,476.28㎡,公開中,一方,近江鉄道本線 河辺の森,徒歩 23分,南東2.4m,住友不動産ステップ（株） 大津営業センター,1988年（昭和63年） 3月,050-3112-7271,コーポやまもと,,250615
75,1.00134E+11,,マンション,281.07㎡,東京都,東京都墨田区東向島３丁目,"専属
オーナーチェンジ","26,700万円","26,700",26000,近商,758.79㎡,申込あり,一方,伊勢崎線 東向島,徒歩 8分,北7.8m,住友不動産ステップ（株） 錦糸町営業センター,1990年（平成 2年） 8月,050-3112-8317,墨田区東向島３丁目一棟マンション,,250615
76,1.00135E+11,,アパート,142.14㎡,東京都,東京都清瀬市元町２丁目,"専属
オーナーチェンジ","9,800万円","9,800",9000,近商,168.48㎡,公開中,一方,西武池袋線 清瀬,徒歩 8分,南東5.6m,住友不動産ステップ（株） 吉祥寺第１営業センター,1990年（平成 2年） 5月,050-3112-9779,清瀬市元町２丁目一棟アパート,,250615
77,1.00135E+11,,アパート,239.53㎡,東京都,東京都日野市東豊田３丁目,"専属
オーナーチェンジ","6,880万円","6,880",6000,一低,162.16㎡,公開中,一方,中央線 豊田,徒歩 11分,北東17m,住友不動産ステップ（株） 国立営業センター,1997年（平成 9年）11月,050-3112-9782,ミモザハウス,,250615
78,1.00135E+11,,アパート,163.47㎡,東京都,東京都練馬区早宮１丁目,"一般
オーナーチェンジ","18,200万円","18,200",18000,近商,249.00㎡,-,角地,有楽町線 氷川台,徒歩 12分,南東8m,住友不動産ステップ（株） 練馬営業センター,2016年（平成28年）12月,050-3112-8314,クリエスト,,250615
79,1.00135E+11,,マンション,140.19㎡,東京都,東京都立川市錦町１丁目,"一般
オーナーチェンジ","12,300万円","12,300",12000,商業,305.43㎡,-,一方,中央線 立川,徒歩 10分,南東5m,住友不動産ステップ（株） 立川営業センター,1986年（昭和61年） 8月,050-3112-9790,立川市錦町１丁目１棟マンション,,250615
80,4.00134E+11,,アパート,332.10㎡,広島県,広島県廿日市市阿品３丁目,"専任
オーナーチェンジ","15,000万円","15,000",15000,一低,262.12㎡,公開中,一方,広電宮島線 広電阿品,徒歩 7分,南西5.8m,住友不動産ステップ（株） 五日市営業センター,2018年（平成30年） 7月,050-3112-7255,廿日市市阿品３丁目アパート,,250615
81,2.00134E+11,,マンション,152.06㎡,愛知県,愛知県名古屋市昭和区安田通５丁目,"専任
オーナーチェンジ","10,100万円","10,100",10000,近商,403.42㎡,申込あり,角地,鶴舞線 川名,徒歩 8分,北東24.5m,住友不動産ステップ（株） 本山営業センター,1990年（平成 2年） 9月,050-3112-7284,プレアール名古屋安田通,,250615
82,2.00135E+11,,アパート,767.64㎡,愛知県,愛知県小牧市大字北外山,専任,"9,990万円","9,990",9000,一住,178.86㎡,申込あり,角地,小牧線 間内,徒歩 6分,南7.9m,住友不動産ステップ（株） 春日井営業センター,2002年（平成14年） 4月,050-3112-7279,ｃａｓａ ｖｅｒｄｅ Ａ・Ｂ,,250615
83,1.00135E+11,,アパート,317.35㎡,宮城県,宮城県仙台市青葉区旭ケ丘３丁目,"専任
オーナーチェンジ","6,000万円","6,000",6000,一低,216.66㎡,公開中,一方,仙台南北線 旭ヶ丘,徒歩 6分,北4m,住友不動産ステップ（株） 仙台上杉営業センター,1990年（平成 2年） 9月,050-3112-9879,リベラルハイツ,,250615
